"","year","country","emissions_CDIAC","emissions_UNFCCC","consum_emissions_UNFCCC","transfers_UNFCCC"
"1",1959,"ARGENTINA",13.362,13.362,NA,NA
"2",1959,"AUSTRALIA",22.849,22.849,NA,NA
"3",1959,"AUSTRIA",7.62,7.62,NA,NA
"4",1959,"BELGIUM",24.107,24.107,NA,NA
"5",1959,"BRAZIL",10.653,10.653,NA,NA
"6",1959,"BULGARIA",5.357,5.357,NA,NA
"7",1959,"CANADA",50.356,50.356,NA,NA
"8",1959,"CHINA.(MAINLAND)",196.823,196.823,NA,NA
"9",1959,"CROATIA",1.63784089140142,1.63784089140142,NA,NA
"10",1959,"CYPRUS",0.227,0.227,NA,NA
"11",1959,"CZECH.REPUBLIC",25.3725424153698,25.3725424153698,NA,NA
"12",1959,"DEMOCRATIC.PEOPLE.S.REPUBLIC.OF.KOREA",5.424,5.424,NA,NA
"13",1959,"DENMARK",7.107,7.107,NA,NA
"14",1959,"ESTONIA",2.57246501015186,2.57246501015186,NA,NA
"15",1959,"FINLAND",3.701,3.701,NA,NA
"16",1959,"FRANCE.(INCLUDING.MONACO)",71.492,71.492,NA,NA
"17",1959,"GERMANY",206.306,206.306,NA,NA
"18",1959,"GREECE",2.218,2.218,NA,NA
"19",1959,"HUNGARY",11.438,11.438,NA,NA
"20",1959,"INDIA",29.95,29.95,NA,NA
"21",1959,"INDONESIA",6.513,6.513,NA,NA
"22",1959,"IRELAND",3.361,3.361,NA,NA
"23",1959,"ITALY.(INCLUDING.SAN.MARINO)",25.694,25.694,NA,NA
"24",1959,"JAPAN",52.59,52.59,NA,NA
"25",1959,"LATVIA",1.51451775115303,1.51451775115303,NA,NA
"26",1959,"LITHUANIA",2.47770509668589,2.47770509668589,NA,NA
"27",1959,"LUXEMBOURG",2.844,2.844,NA,NA
"28",1959,"MALTA",0.106,0.106,NA,NA
"29",1959,"MEXICO",15.911,15.911,NA,NA
"30",1959,"NETHERLANDS",18.32,18.32,NA,NA
"31",1959,"POLAND",51.769,51.769,NA,NA
"32",1959,"PORTUGAL",2.179,2.179,NA,NA
"33",1959,"ROMANIA",13.825,13.825,NA,NA
"34",1959,"RUSSIAN.FEDERATION",232.889101093676,232.889101093676,NA,NA
"35",1959,"SAUDI.ARABIA",0.506,0.506,NA,NA
"36",1959,"SLOVAKIA",8.08445758463019,8.08445758463019,NA,NA
"37",1959,"SLOVENIA",1.21853357093114,1.21853357093114,NA,NA
"38",1959,"SOUTH.AFRICA",25.787,25.787,NA,NA
"39",1959,"SPAIN",14.22,14.22,NA,NA
"40",1959,"SWEDEN",11.572,11.572,NA,NA
"41",1959,"TURKEY",4.694,4.694,NA,NA
