"year","co2","pop","gdp","gdpg","gdi","inc","urban","energy","eng_imp","elec"
"1960",2890696.1,180671000,5.433e+11,NA,NA,NA,38.7326062290019,5641.74075529554,5.34081618748347,4049.786628734
"1961",2880505.507,183691000,5.633e+11,2.29999999999968,NA,NA,38.8465695107545,5612.07950307854,5.57885796797174,4182.17550124938
"1962",2987207.873,186538000,6.051e+11,6.10000000000012,NA,NA,39.0132637853949,5774.58631485274,5.82595283059258,4433.60602129325
"1963",3119230.874,189242000,6.386e+11,4.39999999999992,NA,NA,39.2241843776752,5986.78395387916,6.23887607972911,4690.48625569377
"1964",3255995.306,191889000,6.858e+11,5.8000000000003,NA,NA,39.461980624215,6136.93822991417,6.5036408374399,4970.44645602406
"1965",3390922.571,194303000,7.437e+11,6.39999999999976,NA,NA,39.759195174547,6307.89020241581,7.22057621410312,5234.68500229024
"1966",3561878.111,196560000,8.15e+11,6.50000000000028,NA,NA,40.1030565730566,6591.34055759056,7.15792247864086,5590.33374033374
"1967",3695708.943,198712000,8.617e+11,2.50000000000003,NA,NA,40.4818556503885,6809.82048391642,4.25279867385188,5888.34091549579
"1968",3831354.94,200706000,9.425e+11,4.79999999999959,NA,NA,40.90775064024,7073.47894930894,5.54405063902184,6385.45932857015
"1969",4024748.853,202677000,1.0199e+12,3.09999999999999,NA,NA,41.3501161947335,7332.36854699843,7.70933842610018,6904.83379959245
"1970",4328904.501,205052000,1.073303e+12,-0.346648733838819,5262705438734.67,6.68e+09,41.5943355831691,7569.07659520512,6.52160993280303,7236.65704309151
"1971",4356770.034,207661000,1.16485e+12,3.29335165324265,5428342614270.67,7.9e+09,41.4104709117263,7644.52480244244,9.51537451898334,7517.30464555213
"1972",4564952.958,209896000,1.27911e+12,5.2589073310028,5708582432653.57,8.92e+09,41.3158935853947,7940.99783225979,12.1318125624245,8076.40926935244
"1973",4770194.948,211909000,1.425376e+12,5.64572257104872,6028431638382.97,1.283e+10,41.2765805133336,8163.60379219382,15.8218004340444,8573.19415409445
"1974",4598487.673,213854000,1.545243e+12,-0.54055166261962,5953511047063.59,1.552e+10,41.2629176915092,7909.58647956082,15.5511744664603,8449.92845586241
"1975",4406329.539,215973000,1.684904e+12,-0.205456064255458,5946386643812.86,1.279e+10,41.2278807999148,7656.2635792437,14.8712458060153,8522.39400295407
